event,gender,clas_s,heat,typ,wind,name,year,position,school,mark,points
100 Meter Dash,Girls,4,,Finals,1.4,"Marshall, Sidney",12,2,13 Manchester High,12.19,7
100 Meter Dash,Girls,4,,Finals,1.4,"Shaw, Kimone",12,3,12 St. Jago High,12.27,6
100 Meter Dash,Girls,4,,Finals,1.4,"Hopkins, Aaliyah",12,4,13 Edwin Allen High,12.39,5
100 Meter Dash,Girls,4,,Finals,1.4,"Wright, Satanya",12,5,13 St.Elizabeth Tec,12.54,4
100 Meter Dash,Girls,4,,Finals,1.4,"Clarke, Lateisha",12,6,13 Holmwood Technical,12.56,3
100 Meter Dash,Girls,4,,Finals,1.4,"Morrison, Shani",12,7,13 Manchester High,12.56,2
100 Meter Dash,Girls,4,,Finals,1.4,"Campbell, Tashanna",12,8,13 Newell High School,12.62,1
200 Meter Dash,Boys,2,,Finals,-4.1,"O'Haro, Michael",12,1,15 Calabar High School,21.51,9
200 Meter Dash,Boys,2,,Finals,-4.1,"Walker, Rohan",12,2,16 Jamaica College,21.75,7
200 Meter Dash,Boys,2,,Finals,-4.1,"Robinson, Raheem",12,3,16 Wolmers' Boys SC,21.89,6
200 Meter Dash,Boys,2,,Finals,-4.1,"Baker, Devaughn",12,4,15 Jamaica College,21.91,5
200 Meter Dash,Boys,2,,Finals,-4.1,"Foster, Romar",12,5,16 Morant Bay High,22.28,4
200 Meter Dash,Boys,2,,Finals,-4.1,"Williams, Mario",12,6,16 Kingston College,22.41,3
200 Meter Dash,Boys,2,,Finals,-4.1,"Allen, Nathon",12,7,16 Claude McKAY Hig,22.42,2
200 Meter Dash,Boys,2,,Finals,-4.1,"Williams, Gawain",12,8,16 Herbert Morrison,22.61,1
200 Meter Dash,Boys,1,,Finals,-3.3,"Williams, Delano",12,1,18 Munro College,21.18,9
200 Meter Dash,Boys,1,,Finals,-3.3,"Morrison, Travane",12,2,19 Kingston College,21.67,7
200 Meter Dash,Boys,1,,Finals,-3.3,18 Jamaica College,12,3,"3 Mitchell-Blake, Nethanee 18 Jamaica College",21.72,6
200 Meter Dash,Boys,1,,Finals,-3.3,"Minzie, Jevaughn",12,4,17 Bog Walk,21.74,5
200 Meter Dash,Boys,1,,Finals,-3.3,"Henry, Antonio",12,5,17 Kingston College,21.96,4
200 Meter Dash,Boys,1,,Finals,-3.3,"Griffiths, Nicholas",12,6,19 St. George's Col,22.01,3
200 Meter Dash,Boys,1,,Finals,-3.3,"Drake, Jason",12,7,17 Calabar High School,22.23,2
200 Meter Dash,Boys,1,,Finals,-3.3,"Tracey, Tyquendo",12,8,19 Garvey MACEO Hig,22.26,1
200 Meter Dash,Boys,3,,Finals,-3.5,"Chambers, Raheem",12,1,14 St. Jago High,22.78,9
200 Meter Dash,Boys,3,,Finals,-3.5,"Edwards, Rushane",12,2,14 Munro College,23.01,7
200 Meter Dash,Boys,3,,Finals,-3.5,"Matherson, Jhevaughn",12,3,13 Kingston College,23.25,6
200 Meter Dash,Boys,3,,Finals,-3.5,"Wilson, Dajour",12,4,14 Wolmers' Boys SC,23.33,5
200 Meter Dash,Boys,3,,Finals,-3.5,"Housen, Cody",12,5,14 Jamaica College,23.41,4
200 Meter Dash,Boys,3,,Finals,-3.5,"Lodge, Jerome",12,6,14 Kingston College,23.42,3
200 Meter Dash,Boys,3,,Finals,-3.5,"Porter, Gawayne",12,7,14 Calabar High School,23.52,2
200 Meter Dash,Boys,3,,Finals,-3.5,"Walker, Jelani",12,8,14 St. George's Col,24.10,1
200 Meter Dash,Girls,1,,Finals,1,"Jackson, Shericka",12,1,18 Vere Technical High,-2.7,9
200 Meter Dash,Girls,1,,Finals,1,"Lewin, Shawnette",12,2,19 Edwin Allen High,-2.7,7
200 Meter Dash,Girls,1,,Finals,1,"Williams, Jodean",12,3,18 St. Mary High,-2.7,6
200 Meter Dash,Girls,1,,Finals,1,"Stephens, Kenesha",12,4,18 Herbert Morrison,-2.7,5
200 Meter Dash,Girls,1,,Finals,1,"Williams, Melissa",12,5,18 St. Jago High,-2.7,4
200 Meter Dash,Girls,1,,Finals,2,"Cuff, Natricia",12,6,18 Holmwood Technical,-2.9,3
200 Meter Dash,Girls,1,,Finals,2,"Stewart, Dejah",12,7,18 Edwin Allen High,-2.9,2
200 Meter Dash,Girls,1,,Finals,1,"Palmer, Seidatha",12,8,19 Herbert Morrison,-2.7,1
200 Meter Dash,Girls,1,,Finals,-2.9,"Campbell, Crystal",12,9,"9 Campbell, Crystal",2,0
200 Meter Dash,Girls,1,,Finals,-2.9,Papine High School,12,10,"10 James, Samantha",2,0
200 Meter Dash,Girls,1,,Finals,-2.9,ST Hughs,12,11,"11 James, Avadon",2,0
200 Meter Dash,Girls,1,,Finals,-2.7,Green Island,12,12,"12 Williams, Sherona",1,0
200 Meter Dash,Girls,1,,Finals,-2.9,Manchester High,12,13,"13 Davis, Cemorne",2,0
200 Meter Dash,Girls,1,,Finals,-2.7,The Queens School,12,14,"14 Ewers, Donya",1,0
200 Meter Dash,Girls,1,,Finals,-2.9,St. Jago High,12,15,"15 Caudwell, Diana",2,0
200 Meter Dash,Girls,1,,Finals,-2.9,Immaculate Conce,12,16,"16 Crooks, Vanessa",2,0
200 Meter Dash,Girls,2,,Finals,-3.6,"Cameron, Saqukine",12,1,16 Edwin Allen High,24.35,9
200 Meter Dash,Girls,2,,Finals,-3.6,"Hall, Asaine",12,2,17 Petersfield High,24.64,7
